Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Azerbaijan,Medium Cars,,Vehicle Sales by make,Total,vehicles,Statista Market Insights,,"1,788","1,541","1,161",980,864,490,757,507,729,"1,084","1,160","1,300","1,213","1,127","1,039"
Azerbaijan,Medium Cars,,Vehicle Sales by make,Infiniti,vehicles,Statista Market Insights,,247,202,156,114,111,59,90,60,85,126,137,156,144,132,120
Azerbaijan,Medium Cars,,Vehicle Sales by make,Nissan,vehicles,Statista Market Insights,,"1,245","1,052",731,616,525,325,499,330,483,723,771,869,805,740,675
Azerbaijan,Medium Cars,,Vehicle Sales by make,Renault,vehicles,Statista Market Insights,,189,181,171,151,133,65,106,74,100,146,157,172,165,159,152
Azerbaijan,Medium Cars,,Vehicle Sales by make,Suzuki,vehicles,Statista Market Insights,,107,106,103,99,95,41,62,43,61,89,95,103,99,96,92
Azerbaijan,Medium Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Azerbaijan,Medium Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Azerbaijan,Medium Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Azerbaijan,Large Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,35.7,35.46,35.54,35.58,35.87,33.12,36.71,35.76,35.01,35.76,35.62,35.93,35.66,35.87,36.27
Azerbaijan,Large Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,27.34,26.1,24.02,22.45,21.34,9.54,16.3,11.05,15.26,22.92,24.4,27.09,25.61,24.39,23.29
Azerbaijan,Large Cars,,Revenue by make,Infiniti,million USD (US$),Statista Market Insights,,11.51,11.27,10.81,10.13,9.79,4.09,7.03,4.77,6.59,9.81,10.4,11.61,11,10.45,9.99
Azerbaijan,Large Cars,,Revenue by make,Nissan,million USD (US$),Statista Market Insights,,11.86,11.26,9.92,9.22,8.55,4.12,7.06,4.78,6.63,9.9,10.55,11.78,11.06,10.49,9.92
Azerbaijan,Large Cars,,Revenue by make,Renault,million USD (US$),Statista Market Insights,,3.98,3.57,3.3,3.1,3,1.33,2.21,1.5,2.05,3.21,3.44,3.71,3.55,3.46,3.38
Azerbaijan,Large Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,100,100,100,100,100,100,100,100,100,100,100,100,100,,100
Azerbaijan,Large Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Azerbaijan,Large Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,,,,,0.63,1.08,1.03,1.93,2.7,,6.78
Azerbaijan,Large Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,0.34,0.76,1.52,2.16,2.19,2.59,3.09,3.47,3.53,,4.02
